for N=3 oscillators in a 1D ring topology																
coupling strength K  [Hz]	filter_cutoff f_c  [Hz]	delay [s]	Omega [Hz]	m-twist-state	Tsim ~= - 25 / Re(lambda)	paramSet id	Re(\lambda)	Zeitproxy 1. simulation [sek]	topology	diff. const. c	# oscis	coupling function	Nx 	Ny	mx	my
K	Fc	delay	Fomeg	m	Tsim	id	ReLambda	SimSeconds	topology	c	N	couplingfct	Nx	Ny	mx	my
0.25	0.5	0.92	0.9114583333	0	39	147	-0.6351232825	1.9681218345	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.93	0.9067357513	0	40	148	-0.6290860001	1.9870097249	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.94	0.9020618557	0	40	149	-0.6231441052	2.0059565509	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.95	0.8974358974	0	40	150	-0.6172959107	2.0249607657	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.96	0.8928571429	0	41	151	-0.611539748	2.0440208572	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.97	0.8883248731	0	41	152	-0.6058739683	2.0631353475	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.98	0.8838383838	0	42	153	-0.6002969428	2.082302792	ring	0	3	triang	3	1	0	-999
0.25	0.5	0.99	0.8793969849	0	42	154	-0.5948070644	2.1015217789	ring	0	3	triang	3	1	0	-999
0.25	0.5	1	0.875	0	42	155	-0.5894027475	2.1207909282	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.01	0.8706467662	0	43	156	-0.5840824293	2.1401088909	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.02	0.8663366337	0	43	157	-0.5788445696	2.1594743487	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.03	0.8620689655	0	44	158	-0.5736876517	2.1788860128	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.04	0.8578431373	0	44	159	-0.5686101823	2.1983426237	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.05	0.8536585366	0	44	160	-0.5636106921	2.21784295	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.06	0.8495145631	0	45	161	-0.5586877357	2.2373857884	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.07	0.845410628	0	45	162	-0.5538398919	2.2569699625	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.08	0.8413461538	0	46	163	-0.5490657636	2.2765943225	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.09	0.8373205742	0	46	164	-0.5443639779	2.2962577444	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.1	0.8333333333	0	46	165	-0.5397331862	2.3159591296	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.11	0.8293838863	0	47	166	-0.5351720637	2.3356974041	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.12	0.8254716981	0	47	167	-0.53067931	2.3554715183	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.13	0.8215962441	0	48	168	-0.5262536481	2.3752804461	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.14	0.8177570093	0	48	169	-0.521893825	2.3951231844	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.15	0.8139534884	0	48	170	-0.517598611	2.4149987527	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.16	0.8101851852	0	49	171	-0.5133667998	2.4349061927	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.17	0.8064516129	0	49	172	-0.5091972081	2.4548445675	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.18	0.8027522936	0	49	173	-0.5050886752	2.4748129613	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.19	0.799086758	0	50	174	-0.5010400632	2.494810479	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.2	0.7954545455	0	50	175	-0.4970502561	2.5148362455	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.21	0.7918552036	0	51	176	-0.4931181602	2.5348894055	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.21	1.2443438914	0	51	177	-0.4931181602	2.5348894055	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.22	0.7882882883	0	51	178	-0.4892427031	2.5549691228	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.22	1.2387387387	0	51	179	-0.4892427031	2.5549691228	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.23	0.7847533632	0	52	180	-0.4854228338	2.5750745802	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.23	1.2331838565	0	52	181	-0.4854228338	2.5750745802	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.24	0.78125	0	52	182	-0.4816575223	2.5952049788	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.24	1.2276785714	0	52	183	-0.4816575223	2.5952049788	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.25	0.7777777778	0	52	184	-0.4779457593	2.6153595377	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.25	1.2222222222	0	52	185	-0.4779457593	2.6153595377	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.26	0.7743362832	0	53	186	-0.4742865556	2.6355374936	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.26	1.2168141593	0	53	187	-0.4742865556	2.6355374936	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.27	0.7709251101	0	53	188	-0.4706789422	2.6557381005	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.27	1.2114537445	0	53	189	-0.4706789422	2.6557381005	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.28	0.7675438596	0	54	190	-0.4671219698	2.675960629	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.28	1.2061403509	0	54	191	-0.4671219698	2.675960629	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.29	0.7641921397	0	54	192	-0.463614708	2.6962043664	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.29	1.2008733625	0	54	193	-0.463614708	2.6962043664	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.3	0.7608695652	0	54	194	-0.4601562457	2.716468616	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.3	1.1956521739	0	54	195	-0.4601562457	2.716468616	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.31	0.7575757576	0	55	196	-0.4567456904	2.7367526967	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.31	1.1904761905	0	55	197	-0.4567456904	2.7367526967	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.32	0.7543103448	0	55	198	-0.4533821677	2.7570559431	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.32	1.1853448276	0	55	199	-0.4533821677	2.7570559431	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.33	0.7510729614	0	56	200	-0.4500648212	2.7773777045	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.33	1.1802575107	0	56	201	-0.4500648212	2.7773777045	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.34	1.1752136752	0	56	202	-0.446792812	2.7977173453	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.35	1.170212766	0	56	203	-0.4435653186	2.818074244	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.36	1.1652542373	0	57	204	-0.4403815363	2.8384477933	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.37	1.1603375527	0	57	205	-0.437240677	2.8588373998	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.38	1.1554621849	0	58	206	-0.4341419686	2.8792424835	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.39	1.1506276151	0	58	207	-0.4310846554	2.8996624776	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.4	1.1458333333	0	58	208	-0.4280679969	2.9200968281	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.41	1.1410788382	0	59	209	-0.425091268	2.9405449938	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.42	1.1363636364	0	59	210	-0.4221537585	2.9610064458	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.43	1.1316872428	0	60	211	-0.4192547729	2.9814806674	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.44	1.1270491803	0	60	212	-0.41639363	3.0019671534	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.45	1.1224489796	0	60	213	-0.4135696626	3.0224654106	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.46	1.1178861789	0	61	214	-0.4107822173	3.0429749568	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.47	1.1133603239	0	61	215	-0.4080306542	3.0634953211	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.48	1.1088709677	0	62	216	-0.4053143464	3.0840260433	ring	0	3	triang	3	1	0	-999
0.25	0.5	1.49	1.1044176707	0	62	217	-0.4026326799	3.1045666739	ring	0	3	triang	3	1	0	-999
0.25	0.1	0.44	1.2152777778	0	104	218	-0.2394673652	5.2199179587	ring	0	3	triang	3	1	0	-999
0.25	0.9	0.44	1.2152777778	0	15	220	-1.6629778214	0.7516636626	ring	0	3	triang	3	1	0	-999
0.25	1.3	0.44	1.2152777778	0	12	221	-2.0628314291	0.6059632321	ring	0	3	triang	3	1	0	-999
0.25	1.7	0.44	1.2152777778	0	11	222	-2.3298944199	0.5365049975	ring	0	3	triang	3	1	0	-999
0.25	2.1	0.44	1.2152777778	0	10	223	-2.5141249107	0.4971908892	ring	0	3	triang	3	1	0	-999
0.25	2.5	0.44	1.2152777778	0	9	224	-2.6464952909	0.4723227751	ring	0	3	triang	3	1	0	-999
0.25	2.9	0.44	1.2152777778	0	9	225	-2.7452798993	0.4553269779	ring	0	3	triang	3	1	0	-999
0.25	3.3	0.44	1.2152777778	0	9	226	-2.8214305219	0.4430376684	ring	0	3	triang	3	1	0	-999
0.25	3.7	0.44	1.2152777778	0	9	227	-2.8817447421	0.4337649972	ring	0	3	triang	3	1	0	-999
0.25	4.1	0.44	1.2152777778	0	9	228	-2.930606132	0.4265329231	ring	0	3	triang	3	1	0	-999
0.25	4.5	0.44	1.2152777778	0	8	229	-2.9709451415	0.4207415285	ring	0	3	triang	3	1	0	-999
0.25	5	0.44	1.2152777778	0	8	230	-3.0124076685	0.4149504773	ring	0	3	triang	3	1	0	-999
0.25	5	0.44	1.2152777778	0	8	231	-3.0124076685	0.4149504773	ring	0	3	triang	3	1	0	-999
